seed,variant,drop_rate,dpr_pct,sync_pct,delivery_pct,delivered_bytes,energy_kj,tokens_generated,ips_score,llm_fallbacks,injections_generated,injections_rejected,gate_pass_rate,drift_failures
44,Full Agentic SLM,0.3,99.55,66.47,77.99,18723919,936.947,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.4,99.52,61.53,72.82,16119417,806.722,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.5,99.58,56.16,67.92,13803078,690.905,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.6,99.55,48.75,61.48,11101832,555.842,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.7,99.55,45.5,57.46,9734974,487.5,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.8,99.6,38.88,52.28,7877821,394.642,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.0,99.56,85.95,96.33,34675279,1734.515,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.1,99.64,76.46,88.71,27104326,1355.967,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.2,99.56,72.6,84.05,22707856,1136.144,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.3,99.56,66.6,78.06,18880335,944.768,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.4,99.53,62.65,73.66,16507189,826.11,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.5,99.55,57.81,68.96,14308117,716.157,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.6,99.61,51.17,62.18,11603157,580.909,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.7,99.56,44.92,57.24,9621991,481.85,75090,0.9936,2503,0,0,0.9792,52
44,A1: No Link Memory,0.8,99.57,36.52,50.88,7284376,364.97,75090,0.9936,2503,0,0,0.9792,52
44,A2: No Compression,0.0,100.0,84.17,95.59,62810106,3140.505,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.1,100.0,75.91,85.78,47803853,2390.193,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.2,100.0,67.2,76.62,35695065,1784.753,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.3,100.0,54.44,66.09,24798405,1239.92,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.4,100.0,42.58,56.29,17254722,862.736,0,1.0,0,0,0,1.0,0
